FIPS,State abbrev,State,Grades,Enrollment type,School Year 2019-20,School Year 2020-2021,School Year 2021-22,Total change,Percent change,Notes
1,AL,Alabama,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
1,AL,Alabama,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
1,AL,Alabama,Kindergarten to 12th grade,Public school enrollment,724178,716084,725894,1716,0.236958316877894,
1,AL,Alabama,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),NA,NA,NA,NA,NA,
2,AK,Alaska,Kindergarten to 12th grade,Homeschool enrollment,14877,28307,21977,7100,47.7246756738589,
2,AK,Alaska,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
2,AK,Alaska,Kindergarten to 12th grade,Public school enrollment,128033,126363,127017,-1016,-0.793545414072934,
2,AK,Alaska,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),14877,28307,21977,7100,47.7246756738589,
4,AZ,Arizona,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
4,AZ,Arizona,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
4,AZ,Arizona,Kindergarten to 12th grade,Public school enrollment,1130693,1098017,1116643,-14050,-1.24260077669181,
4,AZ,Arizona,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),NA,NA,NA,NA,NA,
5,AR,Arkansas,Preschool to 12th grade,Homeschool enrollment,22249,30267,29118,6869,30.8732976763,
5,AR,Arkansas,Preschool to 12th grade,Private enrollment,19877,20202,15484,-4393,-22.1009206620717,
5,AR,Arkansas,Kindergarten to 12th grade,Public school enrollment,479432,473004,473861,-5571,-1.16200003337282,
5,AR,Arkansas,Preschool to 12th grade,Total nonpublic enrollment (private + homeschool),42126,50469,44602,2476,5.87760527939989,
6,CA,California,Kindergarten to 12th grade,Homeschool enrollment,38532,59275,52628,14096,36.5825807121353,
6,CA,California,Kindergarten to 12th grade,Private enrollment,488984,471653,498486,9502,1.94321286586064,
6,CA,California,Kindergarten to 12th grade,Public school enrollment,6163001,6002392,5892073,-270928,-4.39604017588184,
6,CA,California,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),527516,530928,551114,23598,4.4734188157326,
8,CO,Colorado,Kindergarten to 12th grade,Homeschool enrollment,7880,15773,10502,2622,33.2741116751269,
8,CO,Colorado,Kindergarten to 12th grade,Private enrollment,34409,33080,34916,507,1.47345171321456,
8,CO,Colorado,Kindergarten to 12th grade,Public school enrollment,878798,856783,855623,-23175,-2.6371248,
8,CO,Colorado,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),42289,48853,45418,3129,7.39908723308661,
9,CT,Connecticut,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
9,CT,Connecticut,Kindergarten to 12th grade,Private enrollment,48717,47016,46853,-1864,-3.82617977297452,
9,CT,Connecticut,Kindergarten to 12th grade,Public school enrollment,505210,494006,491105,-14105,-2.79190831535401,
9,CT,Connecticut,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),48717,47016,46853,-1864,-3.82617977297452,
10,DE,Delaware,Kindergarten to 12th grade,Homeschool enrollment,3102,4950,4859,1757,56.6408768536428,
10,DE,Delaware,Kindergarten to 12th grade,Private enrollment,15074,15829,15630,556,3.68847021361284,
10,DE,Delaware,Kindergarten to 12th grade,Public school enrollment,137716,135993,136187,-1529,-1.11025588893084,
10,DE,Delaware,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),18176,20779,20489,2313,12.7255721830985,
11,DC,District of Columbia,Kindergarten to 12th grade,Homeschool enrollment,389,803,1159,770,197.943444730077,
11,DC,District of Columbia,Kindergarten to 12th grade,Private enrollment,15107,17027,16220,1113,7.3674455550407,
11,DC,District of Columbia,Kindergarten to 12th grade,Public school enrollment,76990,77937,77460,470,0.610468892063904,
